customer_id,signup_date,tenure_months,age,region,plan,contract_type,monthly_charges,discount_pct,auto_pay,support_tickets,late_payments,usage_hours_month,satisfaction_score,last_login,total_charges,churn
CUST00001,2023-06-25,30,18,North,Standard,Monthly,1251.42,0.0,Yes,1,0,27.5,3.4,2025-12-22 09:04:28.246553827,37312.99,No
CUST00002,2023-07-16,29,47,Central,Standard,Quarterly,1049.84,0.0,No,3,1,26.2,2.2,2025-12-07 18:04:09.771690047,30161.56,No
CUST00003,2024-06-21,18,26,Central,Basic,Monthly,572.93,0.0,Yes,1,1,39.5,3.9,2025-12-29 08:04:11.023109588,10388.16,No
CUST00004,2024-05-17,19,18,East,Basic,Monthly,727.21,0.0,No,0,1,24.5,5.0,2025-12-03 21:59:56.264996216,14329.24,No
CUST00005,2024-08-02,16,34,West,Standard,Quarterly,1302.17,0.0,Yes,3,0,23.5,4.7,2025-12-01 03:55:23.358056042,21804.14,Yes
CUST00006,2023-07-31,29,23,West,Standard,Monthly,1123.14,0.05,Yes,2,0,20.1,5.0,2025-12-30 00:00:00.000000000,32599.97,No
CUST00007,2024-09-07,15,20,North,Premium,Monthly,2163.15,0.0,Yes,0,0,23.5,3.7,2025-12-17 18:31:42.100596636,34515.31,No
CUST00008,2023-12-15,24,23,North,Standard,Monthly,1180.88,0.0,Yes,0,0,11.7,3.6,2025-12-15 10:05:37.753826053,28285.17,No
CUST00009,2023-07-05,29,33,West,Standard,Annual,1261.42,0.05,No,3,2,26.2,4.1,2025-12-30 00:00:00.000000000,35871.37,No
CUST00010,2024-02-03,22,38,East,Standard,Quarterly,1370.05,0.1,Yes,0,1,24.3,3.3,2025-12-18 10:03:05.928471251,28777.71,No
CUST00011,2024-06-19,18,18,West,Standard,Monthly,1152.36,0.0,Yes,3,2,33.2,3.9,2025-12-19 09:34:04.976684608,19942.56,No
CUST00012,2024-08-07,16,33,South,Basic,Monthly,954.6,0.0,Yes,1,1,30.3,4.4,2025-12-08 01:04:36.607412079,14405.27,No
CUST00013,2023-12-12,24,24,East,Standard,Monthly,1080.55,0.0,No,2,1,30.8,3.2,2025-12-15 11:58:08.591593052,25800.18,No
CUST00014,2024-01-02,23,30,Central,Basic,Quarterly,661.96,0.05,Yes,1,1,32.7,3.4,2025-12-12 23:37:02.840636211,14890.99,No
CUST00015,2024-07-08,17,39,West,Standard,Quarterly,1026.77,0.0,No,0,1,27.5,4.3,2025-12-28 01:19:02.554155296,17972.06,No
CUST00016,2024-12-31,11,36,West,Standard,Monthly,1093.11,0.0,No,1,0,25.4,3.0,2025-12-25 14:39:45.654543479,12054.6,No
CUST00017,2025-06-23,6,45,South,Standard,Monthly,1085.96,0.0,No,0,2,48.0,2.4,2025-12-11 02:49:58.979229719,6547.51,No
CUST00018,2023-06-17,30,24,East,Basic,Monthly,589.19,0.05,Yes,3,1,25.3,3.2,2025-12-22 02:22:51.932744879,18250.97,No
CUST00019,2023-03-10,33,34,West,Standard,Annual,1295.84,0.1,Yes,2,0,23.7,4.4,2025-12-08 19:40:55.978806038,42219.17,No
CUST00020,2024-03-08,21,38,South,Basic,Monthly,652.26,0.05,No,0,0,23.8,4.4,2025-12-18 03:07:58.687400534,14090.58,No
CUST00021,2025-06-14,6,27,West,Premium,Quarterly,1978.42,0.0,No,2,1,27.2,3.8,2025-12-01 04:37:53.507700403,13479.08,Yes
CUST00022,2024-01-27,23,25,South,Premium,Monthly,1828.23,0.15,Yes,3,3,23.4,2.4,2025-12-10 11:26:49.460268005,43073.99,No
CUST00023,2024-05-27,19,18,West,Premium,Annual,1612.13,0.0,Yes,3,2,27.7,3.0,2025-12-24 02:40:06.339002051,29844.55,No
CUST00024,2023-03-17,33,19,West,Premium,Monthly,1854.23,0.0,Yes,2,0,24.6,3.4,2025-12-15 18:50:56.590784316,60281.74,No
CUST00025,2025-04-03,8,52,South,Standard,Quarterly,1035.99,0.0,Yes,2,1,36.1,4.3,2025-12-20 21:04:13.134748495,8039.76,No
